kh1,c/beta_l
1.916045617942585891e-02,1.602756892230576380e+00
1.919697907538365361e-02,1.601278195488721856e+00
1.923414931485191437e-02,1.599799498746867110e+00
1.924812030075188224e-02,1.599249612799710452e+00
1.927011660955760958e-02,1.598320802005012364e+00
1.930560053833998979e-02,1.596842105263157841e+00
1.934170613436254904e-02,1.595363408521303317e+00
1.937844983163700130e-02,1.593884711779448349e+00
1.941584864848192038e-02,1.592406015037593825e+00
1.945392021372398597e-02,1.590927318295739523e+00
1.947368421052631665e-02,1.590169174441588673e+00
1.949121310901348256e-02,1.589448621553884777e+00
1.952761412276551173e-02,1.587969924812029809e+00
1.956466296560106788e-02,1.586491228070175286e+00
1.960237703763507977e-02,1.585012531328320762e+00
1.964077436764796042e-02,1.583533834586466238e+00
1.967987364173614737e-02,1.582055137844611492e+00
1.969924812030075106e-02,1.581331423413203208e+00
1.971812962695429841e-02,1.580576441102756746e+00
1.975556878224478397e-02,1.579097744360902222e+00
1.979368568058318192e-02,1.577619047619047699e+00
1.983249884205247338e-02,1.576140350877192953e+00
1.987202746761024957e-02,1.574661654135338207e+00
1.991229147066831892e-02,1.573182957393483683e+00
1.992481203007518548e-02,1.572727925454688425e+00
1.995115249109307570e-02,1.571704260651628937e+00
1.998976160652218143e-02,1.570225563909774635e+00
2.002908259592670742e-02,1.568746867167919667e+00
2.006913527723702684e-02,1.567268170426065144e+00
2.010994021078229763e-02,1.565789473684210620e+00
2.015037593984962683e-02,1.564350953186153470e+00
2.015143331589898043e-02,1.564310776942355874e+00
2.019062679949882796e-02,1.562832080200501128e+00
2.023055052076485477e-02,1.561353383458646604e+00
2.027122502497473097e-02,1.559874686716791858e+00
2.031267163531350409e-02,1.558395989974937113e+00
2.035491249004262038e-02,1.556917293233082589e+00
2.037593984962406124e-02,1.556190706967555126e+00
2.039633797978225929e-02,1.555438596491228065e+00
2.043696326156108772e-02,1.553959899749373541e+00
2.047836147812958502e-02,1.552481203007518795e+00
2.052055484249098311e-02,1.551002506265664049e+00
2.056356642692073328e-02,1.549523809523809526e+00
2.060150375939849565e-02,1.548242505869896313e+00
2.060698702411835337e-02,1.548045112781954780e+00
2.064841770101250376e-02,1.546566416040100256e+00
2.069064676964464319e-02,1.545087719298245510e+00
2.073369747338515631e-02,1.543609022556390986e+00
2.077759396656043631e-02,1.542130325814536240e+00
2.082236135952189593e-02,1.540651629072681938e+00
2.082706766917293353e-02,1.540497512588235640e+00
2.086504811251683675e-02,1.539172932330826971e+00
2.090822164729661675e-02,1.537694235588972447e+00
2.095224706372426221e-02,1.536215538847117701e+00
2.099714976387301660e-02,1.534736842105263399e+00
2.104295616977005373e-02,1.533258145363408431e+00
2.105263157894737142e-02,1.532948942068727005e+00
2.108702801072763131e-02,1.531779448621553907e+00
2.113126745147469315e-02,1.530300751879699162e+00
2.117639315715241083e-02,1.528822055137844860e+00
2.122243196472517468e-02,1.527343358395989892e+00
2.126941180560244435e-02,1.525864661654135368e+00
2.127819548872180583e-02,1.525590926545881132e+00
2.131457275283957925e-02,1.524385964912280400e+00
2.136000887940404588e-02,1.522907268170426098e+00
2.140637024286462520e-02,1.521428571428571352e+00
2.145368532821888274e-02,1.519949874686716829e+00
2.150198380172579915e-02,1.518471177944862083e+00
2.150375939849624024e-02,1.518417258828552274e+00
2.154794297079961479e-02,1.516992481203007559e+00
2.159471762235991993e-02,1.515513784461152813e+00
2.164246161102433702e-02,1.514035087719298289e+00
2.169120531448459968e-02,1.512556390977443543e+00
2.172932330827067812e-02,1.511420509797728906e+00
2.174016888158994062e-02,1.511077694235589020e+00
2.178744894585417716e-02,1.509598997493734274e+00
2.183571699569056973e-02,1.508120300751879750e+00
2.188500425486708881e-02,1.506641604010025004e+00
2.193534327671383191e-02,1.505162907268170258e+00
2.195488721804511600e-02,1.504596238915867801e+00
2.198456645086746541e-02,1.503684210526315734e+00
2.203345607415841192e-02,1.502205513784461210e+00
2.208338772139767023e-02,1.500726817042606465e+00
2.213439499115889969e-02,1.499248120300751719e+00
2.218045112781955042e-02,1.497939357298765373e+00
2.218609938133513093e-02,1.497769423558897195e+00
2.223571132385334520e-02,1.496290726817042671e+00
2.228639161800716542e-02,1.494812030075187925e+00
2.233817507223748861e-02,1.493333333333333179e+00
2.239109802357046319e-02,1.491854636591478656e+00
