kH,c_analytical
3.100602006688963463e+00,1.957618057842418491e+00
3.104904489786745714e+00,1.957023411371237476e+00
3.108896321070234059e+00,1.956485480079120709e+00
3.109843995636754066e+00,1.956354515050167109e+00
3.114760626650686426e+00,1.955685618729096964e+00
3.117190635451504654e+00,1.955362018827427661e+00
3.119719480127751243e+00,1.955016722408026819e+00
3.124727964325074048e+00,1.954347826086956452e+00
3.125484949832776138e+00,1.954248232384110828e+00
3.129705818317385813e+00,1.953678929765886307e+00
3.133779264214046734e+00,1.953143080573956913e+00
3.134766064233395433e+00,1.953010033444815940e+00
3.139807627400337253e+00,1.952341137123745796e+00
3.142073578595317773e+00,1.952046738257707137e+00
3.144886385408647289e+00,1.951672240802675429e+00
3.150029870907690821e+00,1.951003344481605284e+00
3.150367892976589257e+00,1.950959980745110789e+00
3.155126914291409346e+00,1.950334448160535139e+00
3.158662207357859408e+00,1.949881112730593724e+00
3.160303266150688017e+00,1.949665551839464772e+00
3.165493030305146505e+00,1.948996655518394627e+00
3.166956521739130448e+00,1.948811415982522277e+00
3.170687435559061740e+00,1.948327759197324482e+00
3.175250836120401488e+00,1.947750520633464877e+00
3.175958490451638916e+00,1.947658862876254116e+00
3.181202891737486826e+00,1.946989966555183971e+00
3.183545150501672083e+00,1.946697619124570400e+00
3.186491940163500569e+00,1.946321070234113382e+00
3.191839464882943123e+00,1.945654184221622396e+00
3.191855213837070160e+00,1.945652173913043459e+00
3.197162975050551470e+00,1.944983277591973092e+00
3.200133779264214162e+00,1.944617839674224413e+00
3.202544359141354935e+00,1.944314381270902947e+00
3.207978434267408474e+00,1.943645484949833024e+00
3.208428093645484758e+00,1.943590942110793085e+00
3.213378046964686874e+00,1.942976588628762435e+00
3.216722408026755797e+00,1.942571381983861700e+00
3.218849865071688576e+00,1.942307692307692513e+00
3.224363726448167711e+00,1.941638795986622146e+00
3.225016722408026393e+00,1.941560809339329285e+00
3.229854192787581901e+00,1.940969899665552001e+00
3.233311036789297432e+00,1.940557603586626101e+00
3.235414948899872911e+00,1.940301003344481634e+00
3.241018877248864616e+00,1.939632107023411267e+00
3.241605351170568472e+00,1.939563186360908187e+00
3.246598907279714119e+00,1.938963210702341122e+00
3.249899665551839512e+00,1.938575913821053875e+00
3.252247516161637542e+00,1.938294314381270755e+00
3.257952476730394231e+00,1.937625418060200833e+00
3.258193979933109663e+00,1.937597509213847768e+00
3.263621207130324109e+00,1.936956521739130688e+00
3.266488294314381147e+00,1.936625772745659280e+00
3.269357005209291511e+00,1.936287625418060099e+00
3.274782608695652186e+00,1.935662893340420077e+00
3.275158059805325372e+00,1.935618729096989954e+00
3.280931768152064443e+00,1.934949832775919809e+00
