kH,c_analytical
4.139524388869565641e+00,1.867290969899665587e+00
4.145685618729096689e+00,1.866974211190064459e+00
4.153979933110367284e+00,1.866551292974625076e+00
4.154879623400649535e+00,1.866505016722408206e+00
4.162274247491638768e+00,1.866129418500454218e+00
4.170449271260428858e+00,1.865719063545150602e+00
4.170568561872909363e+00,1.865713149386071024e+00
4.178862876254180847e+00,1.865297276608167687e+00
4.186214090520801179e+00,1.864933110367892999e+00
4.187157190635451443e+00,1.864886959514356679e+00
4.195451505016722038e+00,1.864477550768599556e+00
4.202213041242544911e+00,1.864147157190635617e+00
4.203745819397993522e+00,1.864073160367532456e+00
4.212040133779264117e+00,1.863670018043114496e+00
4.218450674971790271e+00,1.863361204013378014e+00
4.220334448160534713e+00,1.863271534309060673e+00
4.228628762541806196e+00,1.862874466931037531e+00
4.234932553479909600e+00,1.862575250836120411e+00
4.236923076923076792e+00,1.862481875194494485e+00
4.245217391304347387e+00,1.862090697042167564e+00
4.251665318019930417e+00,1.861789297658862807e+00
4.253511705685618871e+00,1.861703988068183602e+00
4.261806020066889467e+00,1.861318518809122580e+00
4.268656772147246592e+00,1.861003344481605426e+00
4.270100334448160950e+00,1.860937688900855758e+00
4.278394648829431546e+00,1.860557753239098666e+00
4.285915979958608624e+00,1.860217391304347823e+00
4.286688963210701253e+00,1.860182804367861875e+00
4.294983277591972737e+00,1.859808231704880521e+00
4.303277591973244220e+00,1.859439056353684006e+00
4.303446852472210260e+00,1.859431438127090441e+00
4.311571906354514816e+00,1.859069795775236233e+00
4.319866220735786300e+00,1.858705720052990173e+00
4.321228400021060345e+00,1.858645484949832838e+00
4.328160535117056895e+00,1.858342297085116446e+00
4.336454849498327491e+00,1.857983163256648140e+00
4.339302432732957904e+00,1.857859531772575234e+00
4.344749163879598086e+00,1.857625597246369331e+00
4.353043478260869570e+00,1.857271251170463211e+00
4.357683793743448497e+00,1.857073578595318075e+00
4.361337792642140165e+00,1.856919567800048521e+00
4.369632107023411649e+00,1.856569858638750903e+00
4.376389298254126814e+00,1.856287625418060472e+00
4.377926421404682245e+00,1.856224090211712641e+00
4.386220735785952840e+00,1.855878870145467818e+00
4.394515050167224324e+00,1.855538481329526146e+00
4.395404008623049030e+00,1.855501672240802868e+00
4.402809364548494919e+00,1.855198179858904339e+00
4.411103678929765515e+00,1.854862061147032115e+00
4.414713204301105698e+00,1.854715719063545265e+00
4.419397993311036998e+00,1.854527691722150484e+00
