kH,c_analytical
4.951461705685618497e+00,1.999797518771547100e+00
4.957678527010858538e+00,1.997324414715718977e+00
4.973999130434782145e+00,1.991096890279513865e+00
4.979276029610396392e+00,1.989013377926421189e+00
4.996536555183946682e+00,1.982473552466521571e+00
5.001057541882878432e+00,1.980702341137123845e+00
5.019073979933109442e+00,1.973926081786596676e+00
5.023023210278985573e+00,1.972391304347825836e+00
5.041611404682273978e+00,1.965453170311731723e+00
5.045173750511158239e+00,1.964080267558528714e+00
5.064148829431438514e+00,1.957053622035068052e+00
5.067510453609709309e+00,1.955769230769230926e+00
5.086686254180602162e+00,1.948726349594477325e+00
5.090035196568127418e+00,1.947458193979933139e+00
5.109223678929765811e+00,1.940470371397955418e+00
5.112750457737098131e+00,1.939147157190635351e+00
5.131761103678928571e+00,1.932284809135006887e+00
5.135659337199351526e+00,1.930836120401337785e+00
5.154298528428093107e+00,1.924168885660852535e+00
5.158765582435687946e+00,1.922525083612040220e+00
5.176835953177257643e+00,1.916121923242775749e+00
5.182073619678423171e+00,1.914214046822742432e+00
5.199373377926421291e+00,1.908143342160386169e+00
5.205588591444359814e+00,1.905903010033444867e+00
5.221910802675585828e+00,1.900232659653886991e+00
5.229316400847748625e+00,1.897591973244147523e+00
5.244448227424749476e+00,1.892389489216787180e+00
5.253263763417898247e+00,1.889280936454849513e+00
5.266985652173913124e+00,1.884613540231776962e+00
5.277438267289669582e+00,1.880969899665551726e+00
5.289523076923076772e+00,1.876904617950791554e+00
5.301848442802674199e+00,1.872658862876254382e+00
5.312060501672240420e+00,1.869262623822640634e+00
5.326503842742176253e+00,1.864347826086956594e+00
5.334597926421404068e+00,1.861687556173970748e+00
5.351415134688052966e+00,1.856036789297658807e+00
5.357135351170568605e+00,1.854179511251821566e+00
5.376594207216426113e+00,1.847725752508361019e+00
5.379672775919732253e+00,1.846738684638637773e+00
5.402054292031875704e+00,1.839414715719063675e+00
5.402210200668896789e+00,1.839365373053345687e+00
